170,80,1
49,135,1
157,169,3
94,169,3
170,111,3
25,162,2
25,121,2
57,168,3
171,166,1
49,134,1
143,88,4
62,168,3
159,167,3
49,114,1
145,85,4
173,167,1
159,39,3
174,114,1
102,21,4
167,82,4
29,168,3
87,166,3
94,87,0
98,103,0
141,20,4
162,103,0
26,76,0
177,72,4
165,20,4
49,70,1
163,86,4
106,38,3
40,20,4
127,20,4
58,39,3
65,104,3
181,69,1
172,112,1
19,172,2
134,151,4
29,165,3
137,150,4
172,78,1
29,19,2
153,151,4
25,21,2
26,73,2
154,85,4
21,170,3
106,103,0
48,50,1
38,21,4
157,104,3
146,86,0
133,104,3
167,168,3
128,169,3
68,38,3
75,39,3
90,151,4
175,115,1
164,92,0
137,39,3
146,84,4
163,103,1
163,89,1
27,71,2
99,21,4
25,154,2
174,162,1
63,167,3
166,107,3
53,104,3
144,167,3
25,85,2
16,175,3
166,84,1
136,150,4
76,38,3
48,57,1
61,21,4
45,168,3
172,30,1
18,172,3
85,20,4
121,39,3
120,38,3
153,169,3
99,86,4
26,24,2
104,104,3
152,150,4
140,166,3
101,20,4
147,103,3
34,169,3
175,116,3
168,81,4
114,103,0
163,95,1
72,88,4
135,103,3
48,121,1
105,102,0
143,21,4
146,88,4
157,103,3
67,22,4
25,26,2
154,167,3
94,86,4
25,150,2
25,34,2
77,104,0
26,22,2
161,86,1
97,20,4
167,83,1
25,35,2
131,39,3
166,168,3
26,118,2
174,35,1
144,87,4
119,21,4
118,86,4
26,127,0
171,163,1
83,88,4
123,169,3
51,86,0
25,20,2
26,94,2
159,20,4
49,42,1
22,168,2
162,20,4
113,104,3
26,87,2
153,168,3
49,60,1
137,85,4
154,102,3
123,21,4
104,103,0
91,86,4
44,167,3
73,169,3
22,169,3
26,144,2
171,167,3
117,86,4
66,102,3
173,76,4
70,22,4
97,102,3
126,20,4
146,85,4
114,102,3
47,42,1
151,85,4
138,86,0
87,167,3
163,88,1
169,152,0
167,21,4
174,153,1
19,171,2
82,87,4
168,108,3
48,136,1
70,20,4
49,65,1
25,112,2
155,104,3
26,84,2
15,176,3
26,33,0
172,77,4
27,107,2
127,103,3
143,87,4
109,85,4
140,86,0
61,168,3
175,75,1
153,21,4
58,150,4
71,87,4
17,174,3
163,90,4
53,167,3
173,75,4
63,20,4
25,22,2
52,168,3
163,97,1
48,40,1
143,20,4
100,20,4
130,85,4
25,16,2
20,170,2
103,20,4
141,22,4
151,168,3
46,167,3
50,151,4
57,38,3
174,115,3
162,88,4
162,99,1
110,87,4
180,69,4
132,20,4
24,22,2
95,87,4
49,67,1
26,133,2
177,117,1
172,154,1
60,169,3
25,135,2
27,135,2
48,138,1
86,103,3
41,21,4
23,167,2
102,103,3
70,103,3
25,102,2
76,104,3
98,87,4
164,169,3
124,101,3
91,151,4
27,167,2
115,169,3
153,40,1
159,87,4
60,150,4
42,168,3
71,86,4
110,168,3
171,79,1
134,104,3
97,104,3
