169,85,4
48,135,1
155,168,3
94,168,3
169,105,3
26,164,2
27,120,2
58,166,3
170,164,1
49,135,1
143,88,4
62,169,3
159,168,3
48,114,1
143,85,4
172,169,1
159,38,3
173,112,3
103,21,4
167,90,4
31,168,3
86,166,3
93,86,0
99,102,0
141,21,4
161,102,0
25,76,0
177,72,4
163,20,4
47,69,1
163,87,4
106,39,3
41,21,4
127,20,4
59,39,3
65,103,3
181,69,1
171,108,3
19,171,2
134,151,4
30,167,3
137,151,4
172,81,4
30,21,4
153,150,4
24,30,4
26,72,2
154,86,4
21,169,2
106,101,0
49,50,1
38,21,4
157,103,3
147,88,0
131,103,3
166,169,3
129,169,3
68,38,3
75,38,3
90,150,4
174,114,3
164,91,0
137,38,3
145,86,4
162,102,1
162,88,1
27,72,2
99,21,4
25,153,2
173,163,1
60,167,3
166,97,3
53,103,3
145,167,3
26,85,2
17,174,2
165,92,4
135,151,4
77,38,3
48,57,1
59,22,4
45,167,3
172,33,1
19,172,3
85,20,4
121,38,3
120,39,3
153,169,3
99,85,4
26,25,2
104,103,3
152,151,4
142,166,3
101,21,4
147,103,3
33,169,3
175,113,3
168,88,4
113,103,0
162,94,1
72,86,4
133,103,3
49,121,1
106,102,0
144,22,4
145,87,4
156,101,3
66,22,4
26,28,2
154,167,3
96,85,4
25,151,2
25,34,2
77,103,0
25,24,2
161,86,1
97,20,4
166,91,4
26,35,2
132,39,3
166,167,3
27,119,2
173,35,1
143,86,4
122,21,4
120,86,4
26,127,0
172,163,1
83,88,4
123,168,3
51,86,0
26,21,2
26,94,2
159,20,4
48,42,1
23,168,3
161,20,4
114,104,3
25,87,2
153,167,3
48,60,1
137,86,4
157,102,3
123,21,4
103,101,0
93,87,4
44,166,3
74,168,3
22,168,2
25,143,2
170,169,3
116,86,4
67,102,3
173,78,4
72,21,4
98,102,3
126,21,4
144,86,4
114,102,3
47,41,1
149,85,4
135,86,0
87,169,3
162,89,1
170,151,0
166,21,4
175,154,4
20,171,3
83,85,4
167,100,3
49,136,1
71,22,4
48,64,1
25,113,2
155,103,3
25,84,2
15,175,2
26,32,0
172,80,4
27,105,2
127,104,3
142,88,4
109,85,4
140,86,0
63,168,3
175,77,4
153,20,4
59,150,4
72,87,4
18,173,3
162,91,4
54,167,3
173,77,4
60,19,4
26,24,2
53,168,3
162,97,1
49,40,1
142,20,4
100,21,4
128,85,4
26,18,4
21,170,3
102,20,4
142,22,4
152,169,3
46,168,3
49,150,4
57,38,3
174,112,3
161,87,4
161,99,1
111,87,4
180,69,4
131,20,4
24,34,2
94,85,4
48,66,1
27,133,2
176,116,3
173,153,1
62,168,3
25,135,2
28,136,2
48,138,1
86,102,3
42,22,4
24,166,2
102,103,3
69,104,3
25,103,2
76,103,3
98,88,4
162,168,3
125,101,3
92,151,4
25,167,2
115,168,3
148,39,3
160,85,4
60,150,4
44,167,3
71,86,4
111,168,3
171,83,4
134,103,3
99,104,3
119,150,4
164,89,1
163,98,0
65,102,3
163,85,1
108,103,3
125,102,3
116,104,3
130,20,4
146,104,3
26,95,2
67,21,4
33,168,3
146,169,3
173,110,3
84,166,3
85,169,3
158,39,3
48,41,1
69,20,4
29,22,4
160,100,1
26,43,2
25,65,2
48,43,1
169,150,4
83,169,3
66,104,3
105,20,4
25,26,2
100,103,3
27,163,0
27,67,2
120,87,0
174,24,4
24,167,3
163,103,3
122,86,4
124,20,4
132,103,3
111,104,3
64,20,4
107,168,3
60,102,0
85,85,4
26,119,2
145,169,3
26,65,2
118,169,3
100,101,0
55,21,4
149,21,4
173,30,0
27,139,2
108,169,3
49,144,1
60,20,4
91,86,4
65,101,3
169,167,3
28,66,0
173,31,0
163,22,4
90,167,3
120,103,3
130,102,3
128,103,0
161,150,4
16,174,3
26,44,0
48,58,1
26,140,2
28,20,4
26,45,2
27,167,2
165,20,4
172,23,1
60,22,4
48,49,1
174,29,1
69,169,3
26,115,2
160,149,4
98,87,4
86,104,3
57,169,3
173,25,1
113,150,4
31,21,4
168,103,3
97,39,3
26,57,0
171,151,4
27,117,2
124,87,4
84,168,3
49,59,1
112,103,3
129,167,3
101,151,4
18,172,2
101,103,3
27,24,2
97,103,3
167,169,3
125,39,3
63,102,0
73,168,3
170,107,3
69,22,4
17,173,2
173,21,4
56,38,3
61,22,4
90,169,3
171,82,4
141,169,3
132,38,3
64,103,3
80,85,0
48,122,1
48,117,1
144,166,3
123,39,3
105,86,4
103,104,3
174,166,1
49,70,1
88,103,3
108,100,0
40,21,4
27,154,2
110,169,3
173,26,1
124,85,4
66,21,4
24,33,4
125,21,4
170,85,4
67,104,3
103,86,4
142,85,4
170,84,4
86,168,3
134,86,4
104,104,3
67,20,4
25,163,2
174,152,1
48,123,1
98,20,4
146,102,0
123,38,3
90,85,4
95,103,3
64,166,3
25,121,2
25,156,2
179,70,4
157,38,3
163,104,3
84,103,3
137,103,0
164,104,3
163,95,1
27,23,2
133,86,4
25,21,0
