149,97,t,1
48,142,t,3
17,166,d,3
168,103,d,3
172,21,t,1
83,90,t,1
95,98,t,2
110,23,t,4
191,35,d,1
116,20,t,2
105,152,t,3
166,30,t,1
91,172,d,3
154,99,t,1
31,169,t,3
140,150,t,3
26,55,t,2
163,103,t,2
62,29,t,4
127,152,t,4
126,37,t,2
25,126,t,4
184,165,d,1
176,25,d,1
55,168,t,2
83,161,t,2
72,111,d,3
6,24,d,4
196,25,d,1
164,103,t,1
18,145,d,2
141,91,t,4
26,20,t,1
75,21,t,4
150,100,t,1
121,23,t,2
48,162,t,3
174,95,d,4
139,34,t,3
197,91,d,4
160,90,t,1
180,95,d,3
162,163,t,4
38,169,t,1
185,148,d,4
180,174,d,3
180,38,d,3
159,153,t,2
25,95,t,2
154,104,t,2
194,151,d,4
129,152,t,1
64,90,t,2
164,95,t,1
99,103,t,2
113,162,t,1
13,95,d,2
121,163,t,3
151,88,t,4
195,93,d,4
8,165,d,2
84,93,t,4
14,25,d,2
119,37,t,1
73,160,t,3
76,35,t,1
43,135,t,4
81,34,t,2
192,102,d,3
43,136,t,1
56,24,t,1
61,86,t,3
23,35,d,2
22,145,d,2
128,97,t,4
130,87,t,2
141,99,t,1
21,45,d,2
163,108,d,3
78,21,t,2
144,23,t,1
80,86,t,3
87,106,d,3
84,39,t,2
157,96,t,1
17,176,d,3
89,86,t,4
15,175,d,3
30,77,t,4
18,35,d,2
19,105,d,2
32,168,t,1
27,148,t,4
13,25,d,2
173,151,t,2
162,99,t,2
26,175,d,3
136,151,t,4
28,141,t,3
48,68,t,4
87,167,t,1
164,153,t,1
27,35,t,2
174,159,t,3
183,165,d,1
181,35,d,1
190,95,d,1
63,168,t,4
112,85,t,1
174,156,t,4
150,150,t,3
104,91,t,1
156,89,t,4
183,95,d,1
114,89,t,4
94,103,t,1
150,164,t,1
158,161,t,3
25,134,t,4
25,169,t,2
145,24,t,1
117,164,t,3
123,39,t,2
59,89,t,1
55,171,d,3
20,55,d,2
136,156,t,4
188,25,d,1
187,40,d,3
161,167,t,4
27,166,t,2
28,165,t,2
115,168,t,2
24,25,d,2
120,176,d,3
23,65,d,2
191,95,d,3
60,155,t,1
160,165,t,1
155,165,t,3
186,24,d,4
49,42,t,3
78,104,t,3
16,164,d,4
169,107,d,3
42,134,t,4
137,90,t,1
112,104,t,3
186,96,d,3
57,20,t,1
167,95,d,1
102,104,t,3
197,36,d,3
27,56,t,2
119,32,t,3
140,154,t,4
31,132,t,4
20,145,d,2
112,24,t,1
130,162,t,1
170,22,t,2
194,87,d,4
171,32,t,1
149,32,t,3
165,166,t,2
181,94,d,4
74,101,t,1
163,157,t,4
33,165,t,3
13,166,d,3
162,90,t,4
109,162,t,3
27,61,t,3
181,165,d,1
175,102,d,3
187,25,d,4
79,20,t,3
183,35,d,1
126,150,t,4
139,21,t,2
20,175,d,3
193,95,d,1
151,152,t,4
24,55,d,2
118,168,t,1
158,28,t,3
137,20,t,1
19,25,d,2
172,35,t,4
166,94,d,4
15,25,d,2
24,92,e,3
75,31,t,3
160,97,t,3
89,167,t,1
77,104,t,1
174,36,t,4
155,150,t,3
118,102,t,1
90,87,t,1
41,166,t,3
93,102,t,3
38,20,t,1
125,101,t,2
170,167,t,1
180,94,d,4
129,168,t,3
168,101,d,3
171,95,d,1
90,100,t,3
100,32,t,3
28,175,d,3
46,48,t,3
179,165,d,1
49,69,t,3
148,152,t,4
190,172,d,3
154,170,d,3
193,155,d,1
85,102,t,3
98,107,d,3
126,147,d,4
175,95,d,1
87,34,t,1
106,103,t,2
162,25,t,4
13,22,d,4
47,67,t,4
76,163,t,3
17,125,d,2
148,91,t,4
95,157,t,2
131,21,t,4
90,172,d,3
47,26,t,4
6,25,d,2
116,104,t,2
77,103,t,1
25,35,t,2
149,172,d,3
78,85,t,3
58,24,t,4
97,167,t,3
38,170,d,3
98,89,t,4
141,34,t,3
17,45,d,2
127,22,t,4
146,88,t,3
131,177,d,3
171,39,t,1
111,103,t,4
162,28,t,4
187,35,d,1
163,36,t,3
144,87,t,4
29,23,t,3
186,25,d,1
25,138,t,3
160,162,t,3
9,65,d,2
77,166,t,3
111,169,t,2
98,160,t,1
120,152,t,2
133,26,t,4
126,89,t,4
126,153,t,4
66,105,d,1
121,102,t,2
99,101,t,1
25,65,t,2
111,37,t,3
122,85,t,4
12,170,d,3
138,99,t,3
25,161,t,4
118,156,t,4
99,90,t,4
169,161,t,3
48,125,t,4
105,35,t,2
110,37,t,3
29,62,t,3
17,23,d,4
109,20,t,3
135,168,t,3
187,155,d,1
124,177,d,3
177,97,d,3
27,124,t,3
173,96,d,3
170,162,t,1
20,125,d,2
26,23,t,3
25,164,t,3
152,88,t,4
11,165,d,2
11,25,d,2
27,81,t,1
46,76,t,2
182,98,d,3
183,155,d,1
149,165,t,2
49,51,t,3
26,161,t,3
47,70,t,4
70,87,t,4
180,155,d,1
20,95,d,2
63,87,t,3
156,101,t,3
152,33,t,3
43,45,t,2
99,104,t,3
178,35,d,1
19,24,d,4
159,85,t,1
127,101,t,1
9,165,d,2
145,165,t,3
12,165,d,2
190,165,d,1
23,105,d,2
91,34,t,3
27,49,t,2
155,96,t,2
136,162,t,3
15,155,d,2
61,35,t,1
86,167,t,4
130,35,t,1
23,45,d,2
84,36,t,3
194,155,d,1
51,25,t,2
198,165,d,1
57,65,d,1
41,139,t,4
67,172,d,3
111,106,d,3
190,36,d,3
123,90,t,1
141,170,d,3
95,170,d,3
102,87,t,3
169,164,t,3
106,86,t,1
22,25,d,2
184,97,d,3
139,102,t,1
101,164,t,3
24,126,e,3
104,38,t,3
135,89,t,4
68,150,t,2
149,103,t,3
47,165,t,4
27,48,t,2
73,91,t,1
108,23,t,2
149,169,t,2
175,165,d,1
23,95,d,2
26,64,t,3
20,173,d,3
127,87,t,2
142,108,d,3
69,153,t,1
152,98,t,3
9,24,d,4
112,103,t,3
182,155,d,1
182,166,d,3
53,38,t,1
168,155,t,4
130,93,t,3
25,45,t,2
26,128,t,2
196,175,d,3
18,165,d,2
122,163,t,1
192,165,d,1
52,155,t,2
48,116,t,4
80,38,t,1
44,99,t,1
97,28,t,4
68,110,d,3
84,153,t,4
125,21,t,1
84,25,t,4
48,121,t,1
199,22,d,4
170,95,d,1
117,84,d,4
48,166,t,3
113,39,t,2
136,102,t,3
131,32,t,2
143,86,t,4
157,22,t,4
139,22,t,2
120,88,t,4
103,24,t,4
66,175,d,3
71,86,t,4
129,165,t,2
142,35,t,3
169,95,d,1
28,113,t,1
169,163,t,1
10,125,d,2
171,169,t,4
182,35,d,1
178,167,d,3
162,21,t,3
42,163,t,3
102,25,t,4
93,94,t,4
59,168,t,3
29,123,t,2
43,172,d,3
105,167,t,4
82,151,t,2
193,175,d,3
20,165,d,2
177,35,e,1
89,101,t,3
123,87,t,2
85,93,t,4
60,169,t,3
64,23,t,2
48,59,t,2
80,20,t,3
124,85,t,4
47,98,t,3
173,161,t,1
73,150,t,2
78,99,t,1
109,37,t,3
60,163,t,3
162,86,t,1
106,36,t,4
47,57,t,3
45,29,t,1
120,151,t,2
31,22,t,2
168,95,d,1
169,104,d,3
194,92,d,4
84,169,t,4
23,25,d,4
180,171,d,3
56,86,t,1
115,90,t,2
29,36,t,2
89,24,t,4
150,25,t,4
70,151,t,2
45,61,t,1
190,41,d,3
180,35,d,1
35,162,t,3
187,165,d,1
25,89,t,3
10,165,d,2
172,160,t,4
69,22,t,4
23,75,d,2
65,105,d,2
93,104,t,3
161,39,t,4
15,65,d,2
157,101,t,3
189,165,d,1
45,34,t,3
89,173,d,3
177,96,d,3
56,169,t,2
110,167,t,1
134,162,t,4
134,157,t,1
86,165,t,2
151,22,t,3
19,65,d,2
186,165,d,1
102,83,d,4
102,86,t,4
73,172,d,3
27,102,t,1
42,165,t,1
128,87,t,4
114,169,t,1
119,88,t,2
7,25,d,2
23,165,d,2
166,162,t,2
185,95,d,1
26,21,t,2
84,161,t,1
145,156,t,2
166,54,d,3
8,65,d,2
21,105,d,2
67,164,t,3
113,100,t,3
142,151,t,1
8,24,d,4
33,20,t,1
109,158,t,2
148,25,t,4
149,100,t,3
126,38,t,1
30,53,t,2
168,84,d,4
24,105,e,4
54,164,t,3
160,33,t,2
111,163,t,3
72,174,d,3
192,95,d,1
34,172,d,3
145,154,t,1
159,104,t,1
23,155,d,2
76,31,t,3
132,102,t,3
12,125,d,2
168,156,t,1
90,25,t,4
39,141,t,3
68,38,t,1
188,35,d,1
178,36,d,3
27,21,t,1
192,155,d,1
65,89,t,4
183,25,d,1
157,163,t,1
154,87,t,4
149,86,t,2
159,22,t,1
115,166,t,2
142,87,t,2
83,36,t,3
102,21,t,4
152,36,t,3
81,85,t,4
29,94,t,2
97,31,t,2
76,176,d,3
69,152,t,2
141,165,t,3
184,96,d,3
36,173,d,3
158,32,t,3
161,95,t,2
107,104,t,3
137,33,t,1
136,168,t,1
59,165,t,3
183,36,d,3
121,86,t,2
161,24,t,4
168,151,t,1
175,35,d,1
122,153,t,2
181,151,d,4
63,24,t,2
31,142,t,2
175,170,d,3
